# 4768
index,from_place_index,to_place_index,length,congestion,walk_access,bike_access,ebike_access
0,0,1,35,7,1,1,1
1,0,2,15,7,1,1,1
2,0,3,30,1,1,0,1
3,0,4,95,8,1,1,0
4,0,5,30,6,1,1,1
5,0,6,75,3,1,1,1
6,0,7,25,8,1,1,0
7,0,8,95,9,1,0,1
8,0,9,90,0,1,1,1
9,0,10,85,7,1,1,1
10,0,11,90,9,1,0,0
11,0,12,15,9,1,0,1
12,0,13,80,9,1,0,0
13,0,14,5,5,1,1,0
14,0,15,75,9,1,1,0
15,0,16,45,5,1,1,1
16,0,17,15,0,1,1,0
17,0,18,100,3,1,1,1
18,0,19,85,8,1,1,1
19,0,20,55,7,1,1,1
20,0,21,45,3,1,0,0
21,0,22,45,9,1,1,1
22,0,23,50,8,1,1,1
23,0,24,30,1,1,1,0
24,0,25,50,9,1,0,1
25,0,26,10,2,1,1,0
26,0,27,10,4,1,1,0
27,0,28,20,1,1,0,0
28,0,29,55,1,1,1,0
29,0,30,45,1,1,1,1
30,0,31,80,2,1,1,0
31,1,24,30,5,1,0,0
32,0,33,30,2,1,1,1
33,0,34,100,2,1,1,0
34,0,35,100,4,1,1,0
35,0,36,60,9,1,1,1
36,0,37,30,6,1,0,1
37,0,38,35,2,1,1,0
38,2,16,50,8,1,1,1
39,0,40,100,1,1,1,0
40,0,41,40,9,1,1,1
41,0,42,90,1,1,1,1
42,0,43,20,4,1,1,0
43,0,44,10,5,1,0,1
44,0,45,35,5,1,1,1
45,0,46,5,2,1,1,0
46,0,47,65,2,1,0,0
47,0,48,55,6,1,1,1
48,0,49,65,4,1,1,1
49,0,50,55,7,1,0,0
50,0,51,90,0,1,0,0
51,0,52,35,6,1,1,1
52,0,53,50,7,1,1,1
53,0,54,25,4,1,1,0
54,0,55,5,3,1,1,1
55,2,67,70,5,1,0,1
56,0,57,70,5,1,1,0
57,0,58,25,9,1,1,0
58,0,59,40,0,1,1,1
59,0,60,100,7,1,1,1
60,0,61,65,0,1,0,1
61,0,62,45,5,1,1,1
62,0,63,5,1,1,0,1
63,0,64,60,3,1,1,0
64,0,65,95,7,1,1,1
65,0,66,90,9,1,1,0
66,0,67,85,0,1,0,0
67,0,68,10,2,1,1,0
68,0,69,95,8,1,1,1
69,0,70,65,8,1,0,0
70,0,71,80,3,1,0,1
71,0,72,40,1,1,0,0
72,0,73,25,4,1,1,0
73,0,74,10,1,1,1,0
74,0,75,60,5,1,1,1
75,0,76,35,5,1,0,1
76,0,77,75,2,1,1,0
77,0,78,55,9,1,1,0
78,0,79,50,9,1,1,0
79,0,80,55,0,1,0,0
80,0,81,70,3,1,1,1
81,0,82,75,6,1,0,0
82,0,83,65,1,1,0,1
83,0,84,20,0,1,1,0
84,0,85,20,4,1,1,1
85,0,86,10,2,1,1,0
86,0,87,20,6,1,0,0
87,0,88,25,0,1,1,0
88,0,89,100,4,1,1,0
89,0,90,55,4,1,1,1
90,0,91,90,3,1,1,1
91,4,57,75,6,1,1,1
92,0,93,85,3,1,1,0
93,0,94,100,9,1,1,0
94,4,80,70,0,1,1,1
95,0,96,50,5,1,0,1
96,0,97,35,3,1,1,0
97,0,98,90,4,1,1,1
98,0,99,55,2,1,0,0
99,1,2,30,1,1,1,1
100,1,3,95,7,1,1,1
101,1,4,35,2,1,1,1
102,1,5,10,5,1,0,0
103,5,48,55,4,1,1,1
104,1,7,60,8,1,1,0
105,1,8,5,1,1,0,0
106,1,9,40,5,1,1,1
107,1,10,55,1,1,1,1
108,5,71,10,3,1,1,1
109,5,72,45,2,1,1,1
110,5,79,60,0,1,1,0
111,1,14,100,1,1,1,0
112,1,15,25,7,1,1,0
113,1,16,50,3,1,1,0
114,1,17,65,6,1,1,0
115,1,18,15,0,1,1,0
116,1,19,70,5,1,1,1
117,1,20,60,1,1,1,1
118,1,21,35,2,1,0,1
119,1,22,85,3,1,1,1
120,1,23,60,8,1,0,0
121,1,24,35,4,1,1,0
122,1,25,60,3,1,0,0
123,1,26,40,3,1,0,0
124,6,55,45,6,1,1,1
125,1,28,50,4,1,1,0
126,1,29,35,4,1,1,1
127,1,30,45,0,1,0,0
128,1,31,60,7,1,0,0
129,1,32,55,7,1,0,0
130,1,33,85,9,1,1,0
131,1,34,25,7,1,0,0
132,1,35,60,7,1,1,1
133,1,36,20,3,1,1,0
134,1,37,60,0,1,1,0
135,1,38,70,6,1,0,1
136,1,39,5,1,1,1,0
137,1,40,5,6,1,1,0
138,1,41,85,0,1,0,0
139,1,42,5,6,1,1,1
140,1,43,55,1,1,1,1
141,1,44,50,4,1,1,1
142,1,45,60,0,1,1,0
143,1,46,35,5,1,1,1
144,1,47,55,8,1,1,0
145,1,48,95,4,1,1,1
146,1,49,60,3,1,1,0
147,1,50,80,8,1,1,1
148,1,51,40,5,1,1,0
