# 100
index,name,instruction,label,likes
0,一厕所 id:0,一厕所是一所厕所。 id:0, 厕所 ,3
1,三教学楼 id:1,三教学楼是新中国第114514所邮电高等教学楼。 id:1, 教学楼 ,16
2,小快递站 id:2,小花园是一所啸快递站子。 id:2, 快递站 ,40
3,二食堂 id:3,二食堂是食堂。 id:3, 食堂 ,7
4,二宿舍 id:4,二宿舍是宿舍。 id:4, 宿舍 ,28
5,五厕所 id:5,五厕所是厕所。 id:5, 厕所 ,4
6,三食堂 id:6,三食堂是食堂。 id:6, 食堂 ,15
7,三食堂 id:7,三食堂是食堂。 id:7, 食堂 ,24
8,一宿舍 id:8,一宿舍是一所宿舍。 id:8, 宿舍 ,45
9,三教学楼 id:9,三教学楼是新中国第114514所邮电高等教学楼。 id:9, 教学楼 ,24
10,三厕所 id:10,三厕所是厕所。 id:10, 厕所 ,22
11,三教学楼 id:11,三教学楼是新中国第114514所邮电高等教学楼。 id:11, 教学楼 ,34
12,三教学楼 id:12,三教学楼是新中国第114514所邮电高等教学楼。 id:12, 教学楼 ,39
13,五宿舍 id:13,五宿舍是宿舍。 id:13, 宿舍 ,37
14,小保卫处 id:14,小花园是一所啸保卫处。 id:14, 保卫处 ,41
15,一宿舍 id:15,一宿舍是一所宿舍。 id:15, 宿舍 ,16
16,小花园 id:16,小花园是一所啸公园。 id:16, 花园 ,5
17,三食堂 id:17,三食堂是食堂。 id:17, 食堂 ,13
18,五厕所 id:18,五厕所是厕所。 id:18, 厕所 ,10
19,五宿舍 id:19,五宿舍是宿舍。 id:19, 宿舍 ,20
20,五厕所 id:20,五厕所是厕所。 id:20, 厕所 ,16
21,小快递站 id:21,小花园是一所啸快递站子。 id:21, 快递站 ,5
22,小理发店 id:22,小花园是一所啸理发店子。 id:22, 理发店 ,8
23,二教学楼 id:23,二教学楼是新中国第18所邮电高等教学楼。 id:23, 教学楼 ,3
24,四教学楼 id:24,四教学楼是新中国第514所邮电高等教学楼。 id:24, 教学楼 ,43
25,五宿舍 id:25,五宿舍是宿舍。 id:25, 宿舍 ,45
26,二宿舍 id:26,二宿舍是宿舍。 id:26, 宿舍 ,25
27,三食堂 id:27,三食堂是食堂。 id:27, 食堂 ,32
28,二厕所 id:28,二厕所是厕所。 id:28, 厕所 ,17
29,四宿舍 id:29,四宿舍是新中国第514所邮电高等宿舍。 id:29, 宿舍 ,44
30,四食堂 id:30,四食堂是新中国第514所邮电高等食堂。 id:30, 食堂 ,2
31,一教学楼 id:31,一教学楼是新中国第1所邮电高等教学楼。 id:31, 教学楼 ,41
32,二教学楼 id:32,二教学楼是新中国第18所邮电高等教学楼。 id:32, 教学楼 ,14
33,五食堂 id:33,五食堂是食堂。 id:33, 食堂 ,14
34,一宿舍 id:34,一宿舍是一所宿舍。 id:34, 宿舍 ,30
35,四宿舍 id:35,四宿舍是新中国第514所邮电高等宿舍。 id:35, 宿舍 ,28
36,小花园 id:36,小花园是一所啸公园。 id:36, 花园 ,38
37,一教学楼 id:37,一教学楼是新中国第1所邮电高等教学楼。 id:37, 教学楼 ,21
38,一厕所 id:38,一厕所是一所厕所。 id:38, 厕所 ,32
39,五宿舍 id:39,五宿舍是宿舍。 id:39, 宿舍 ,6
40,五教学楼 id:40,五教学楼是新中国第114所邮电高等教学楼。 id:40, 教学楼 ,43
41,二食堂 id:41,二食堂是食堂。 id:41, 食堂 ,43
42,二教学楼 id:42,二教学楼是新中国第18所邮电高等教学楼。 id:42, 教学楼 ,6
43,小车棚 id:43,小花园是一所啸车棚子。 id:43, 车棚 ,46
44,小快递站 id:44,小花园是一所啸快递站子。 id:44, 快递站 ,45
45,小花园 id:45,小花园是一所啸公园。 id:45, 花园 ,6
46,三宿舍 id:46,三宿舍是宿舍。 id:46, 宿舍 ,8
47,二宿舍 id:47,二宿舍是宿舍。 id:47, 宿舍 ,20
48,三食堂 id:48,三食堂是食堂。 id:48, 食堂 ,18
49,五厕所 id:49,五厕所是厕所。 id:49, 厕所 ,37
