# 389
index,name,label,likes
0,涮毛肚 food_id:0,湘菜 food_id:0,15
1,鱼香肉丝 food_id:1,徽菜 food_id:1,78
2,涮毛肚 food_id:2,粤菜 food_id:2,27
3,涮毛肚 food_id:3,徽菜 food_id:3,24
4,山西刀削面 food_id:4,鲁菜 food_id:4,111
5,面皮 food_id:5,湘菜 food_id:5,72
6,涮毛肚 food_id:6,闽菜 food_id:6,105
7,鱼香肉丝 food_id:7,闽菜 food_id:7,12
8,面皮 food_id:8,闽菜 food_id:8,30
9,涮毛肚 food_id:9,徽菜 food_id:9,36
10,面皮 food_id:10,粤菜 food_id:10,63
11,麻辣烫 food_id:11,浙菜 food_id:11,21
12,山西刀削面 food_id:12,闽菜 food_id:12,117
13,涮毛肚 food_id:13,浙菜 food_id:13,117
14,山西刀削面 food_id:14,闽菜 food_id:14,105
15,麻辣烫 food_id:15,闽菜 food_id:15,69
16,猪肉炒手 food_id:16,鲁菜 food_id:16,63
17,毛血旺 food_id:17,粤菜 food_id:17,27
18,猪肉炒手 food_id:18,苏菜 food_id:18,60
19,鱼香肉丝 food_id:19,浙菜 food_id:19,78
20,麻辣烫 food_id:20,川菜 food_id:20,54
21,牛肉拉面 food_id:21,粤菜 food_id:21,6
22,山西刀削面 food_id:22,粤菜 food_id:22,36
23,涮毛肚 food_id:23,湘菜 food_id:23,36
24,鱼香肉丝 food_id:24,闽菜 food_id:24,42
25,山西刀削面 food_id:25,浙菜 food_id:25,72
26,猪肉炒手 food_id:26,湘菜 food_id:26,6
27,面皮 food_id:27,川菜 food_id:27,81
28,毛血旺 food_id:28,川菜 food_id:28,3
29,涮毛肚 food_id:29,苏菜 food_id:29,72
30,涮毛肚 food_id:30,粤菜 food_id:30,102
31,毛血旺 food_id:31,川菜 food_id:31,108
32,牛肉拉面 food_id:32,闽菜 food_id:32,18
33,鱼香肉丝 food_id:33,闽菜 food_id:33,75
34,面皮 food_id:34,徽菜 food_id:34,42
35,涮毛肚 food_id:35,粤菜 food_id:35,60
36,鱼香肉丝 food_id:36,苏菜 food_id:36,66
37,猪肉炒手 food_id:37,湘菜 food_id:37,21
38,麻辣烫 food_id:38,闽菜 food_id:38,51
39,牛肉拉面 food_id:39,浙菜 food_id:39,45
40,猪肉炒手 food_id:40,鲁菜 food_id:40,45
41,毛血旺 food_id:41,苏菜 food_id:41,15
42,猪肉炒手 food_id:42,川菜 food_id:42,15
43,鱼香肉丝 food_id:43,粤菜 food_id:43,60
44,牛肉拉面 food_id:44,鲁菜 food_id:44,81
45,毛血旺 food_id:45,苏菜 food_id:45,66
