# 707
index,place_index,content,likes
0,94,我是产所评论。我爱玩元神！ comment_id:0,30
1,93,我是产所评论。这里超好玩的! comment_id:1,36
2,58,我是产所评论。啊啦拉拉~ comment_id:2,3
3,21,我是产所评论。好玩好玩！！ comment_id:3,54
4,37,我是产所评论。啊啦拉拉，这里超好玩的~ comment_id:4,48
5,12,我是产所评论。好玩好玩！！ comment_id:5,24
6,87,我是产所评论。啊啦拉拉，这里超好玩的~ comment_id:6,48
7,75,我是产所评论。这里超好玩的! comment_id:7,24
8,38,我是产所评论。好玩好玩！！ comment_id:8,42
9,1,我是产所评论。 comment_id:9,33
10,78,我是产所评论。啊啦拉拉，这里超好玩的~ comment_id:10,57
11,47,我是产所评论。啊啦拉拉~ comment_id:11,3
12,19,我是产所评论。我爱玩元神！ comment_id:12,18
13,12,我是产所评论。这里超好玩的! comment_id:13,27
14,32,我是产所评论。这里超好玩的! comment_id:14,33
15,23,我是产所评论。我爱玩元神！ comment_id:15,9
16,80,我是产所评论。 comment_id:16,48
17,55,我是产所评论。这里超好玩的! comment_id:17,27
18,79,我是产所评论。这里超好玩的! comment_id:18,57
19,24,我是产所评论。我爱玩元神！ comment_id:19,3
20,78,我是产所评论。好玩好玩！！ comment_id:20,45
21,92,我是产所评论。好玩好玩！！ comment_id:21,57
22,34,我是产所评论。啊啦拉拉~~~ comment_id:22,54
23,47,我是产所评论。 comment_id:23,9
24,26,我是产所评论。啊啦拉拉~ comment_id:24,24
25,71,我是产所评论。啊啦拉拉~ comment_id:25,21
26,93,我是产所评论。啊啦拉拉~ comment_id:26,36
27,48,我是产所评论。啊啦拉拉~ comment_id:27,12
28,30,我是产所评论。我爱玩元神！ comment_id:28,54
29,31,我是产所评论。这里超好玩的! comment_id:29,15
30,68,我是产所评论。好玩好玩！！ comment_id:30,9
31,62,我是产所评论。这里超好玩的! comment_id:31,24
32,32,我是产所评论。我爱玩元神！ comment_id:32,51
33,19,我是产所评论。啊啦拉拉，这里超好玩的~ comment_id:33,42
34,33,我是产所评论。 comment_id:34,3
35,27,我是产所评论。啊啦拉拉~~~ comment_id:35,0
36,97,我是产所评论。啊啦拉拉~ comment_id:36,54
37,67,我是产所评论。 comment_id:37,54
38,83,我是产所评论。啊啦拉拉~ comment_id:38,57
39,40,我是产所评论。啊啦拉拉~ comment_id:39,21
40,56,我是产所评论。这里超好玩的! comment_id:40,45
41,1,我是产所评论。啊啦拉拉~ comment_id:41,33
42,50,我是产所评论。啊啦拉拉~ comment_id:42,57
43,15,我是产所评论。啊啦拉拉~~~ comment_id:43,18
44,47,我是产所评论。啊啦拉拉，这里超好玩的~ comment_id:44,0
45,75,我是产所评论。好玩好玩！！ comment_id:45,27
46,2,我是产所评论。啊啦拉拉~ comment_id:46,42
