# 414
index,content,likes
0,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:0  �论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,120
1,这是景区评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 comment_id:1  �评论。里面超好玩，里面的人说话又好听。这是我的景区评论。 com,207
2,这是景区评论。这里好玩。 comment_id:2  ,111
3,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:3  �景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,72
4,这是景区评论。里面超好玩儿，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:4  �好玩儿，里面的人说话又好听。今天在这里。。，今�,36
5,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:5  �论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,42
6,这是一条景区评论里面超好玩儿啊啊啊! comment_id:6  ,108
7,这是景区评论。这里好玩。 comment_id:7  ,189
8,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:8  �景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,9
9,这是景区评论。里面超好玩儿，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:9  �好玩儿，里面的人说话又好听。今天在这里。。，今�,66
10,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:10  啊啊啊，里面的人说话又好听。今天在这里。�,99
11,这是景区评论。里面超好玩，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:11  超好玩，里面的人说话又好听。今天在这里。。，今天�,228
12,这是景区评论。里面超好玩儿啊啊啊! comment_id:12  ,234
13,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:13  景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,156
14,这是景区评论。这是我的景区评论。 comment_id:14  ,51
15,这是一条景区评论今天很开心！ comment_id:15  ,87
16,这是一条景区评论里面超好玩儿啊啊啊! comment_id:16  ,168
17,这是景区评论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 comment_id:17  论。里面超好玩儿，里面的人说话又好听。这是我的景区评论。 ,129
18,这是景区评论。里面超好玩儿啊啊啊! comment_id:18  ,84
19,这是景区评论。里面超好玩儿啊啊啊! comment_id:19  ,129
20,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:20  ,6
21,这是一条景区评论这里好玩。 comment_id:21  ,54
22,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:22  ,105
23,景区评论!今天在这里。。，今天很开心！这是我的景区评论。 comment_id:23  ,150
24,这是一条景区评论今天在这里。。，今天很开心！ comment_id:24  ,42
25,景区评论!今天在这里。。，今天很开心！里面超好玩儿啊啊啊! comment_id:25  ,18
26,这是一条景区评论今天很开心！ comment_id:26  ,150
27,这是景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_id:27  景区评论。里面超好玩儿，里面的人说话又好听。今天很开心！ comment_i,192
28,这是一条景区评论里面超好玩儿啊啊啊! comment_id:28  ,42
29,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:29  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,198
30,这是景区评论。里面超好玩儿，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:30  好玩儿，里面的人说话又好听。今天在这里。。，今�,21
31,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 comment_id:31  评论。里面超好玩儿啊啊啊，里面的人说话又好听。这里好玩。 com,192
32,这是景区评论。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:32  ��。里面超好玩儿，里面的人说话又好听。里面超好玩儿啊啊啊!,39
33,这是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:33  是景区评论。里面超好玩儿，里面的人说话又好听。这里好玩。 comment_id:3,228
34,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天在这里。。，今天很开心！ comment_id:34  啊啊啊，里面的人说话又好听。今天在这里。�,51
35,这是景区评论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! comment_id:35  ��论。里面超好玩，里面的人说话又好听。里面超好玩儿啊啊啊! co,168
36,这是景区评论。这是我的景区评论。 comment_id:36  ,90
37,这是景区评论。今天在这里。。，今天很开心！ comment_id:37  ,57
38,这是景区评论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ comment_id:38  论。里面超好玩儿啊啊啊，里面的人说话又好听。今天很开心！ ,84
39,这是景区评论。里面超好玩儿啊啊啊! comment_id:39  ,99
40,景区评论!今天在这里。。，今天很开心！今天很开心！ comment_id:40  ,156
41,这是景区评论。这是我的景区评论。 comment_id:41  ,120
42,这是景区评论。今天在这里。。，今天很开心！ comment_id:42  ,180
