# 400
index,name,introduction,place_num,likes
0,北京科技大学0,北京科技大学介绍...0,6,441
1,北京联合大学1,北京联合大学介绍...1,6,245
2,北京公园A2,北京公园A介绍...2,6,483
3,人民公园E3,人民公园E介绍...3,6,485
4,天坛公园I4,天坛公园I介绍...4,6,403
5,北京科技大学5,北京科技大学介绍...5,6,545
6,北京联合大学6,北京联合大学介绍...6,6,514
7,北京公园A7,北京公园A介绍...7,6,525
8,人民公园E8,人民公园E介绍...8,6,415
9,天坛公园I9,天坛公园I介绍...9,6,245
10,北京科技大学10,北京科技大学介绍...10,6,705
11,北京联合大学11,北京联合大学介绍...11,6,423
12,北京公园A12,北京公园A介绍...12,6,105
13,人民公园E13,人民公园E介绍...13,6,423
14,天坛公园I14,天坛公园I介绍...14,6,94
15,北京科技大学15,北京科技大学介绍...15,6,55
16,北京联合大学16,北京联合大学介绍...16,6,345
17,北京公园A17,北京公园A介绍...17,6,114
18,人民公园E18,人民公园E介绍...18,6,548
19,天坛公园I19,天坛公园I介绍...19,6,805
20,北京科技大学20,北京科技大学介绍...20,6,441
21,北京联合大学21,北京联合大学介绍...21,6,245
22,北京公园A22,北京公园A介绍...22,6,483
23,人民公园E23,人民公园E介绍...23,6,485
24,天坛公园I24,天坛公园I介绍...24,6,403
25,北京科技大学25,北京科技大学介绍...25,6,545
26,北京联合大学26,北京联合大学介绍...26,6,514
27,北京公园A27,北京公园A介绍...27,6,525
28,人民公园E28,人民公园E介绍...28,6,415
29,天坛公园I29,天坛公园I介绍...29,6,245
30,北京科技大学30,北京科技大学介绍...30,6,705
31,北京联合大学31,北京联合大学介绍...31,6,423
32,北京公园A32,北京公园A介绍...32,6,105
33,人民公园E33,人民公园E介绍...33,6,423
34,天坛公园I34,天坛公园I介绍...34,6,94
35,北京科技大学35,北京科技大学介绍...35,6,55
36,北京联合大学36,北京联合大学介绍...36,6,345
37,北京公园A37,北京公园A介绍...37,6,114
38,人民公园E38,人民公园E介绍...38,6,548
39,天坛公园I39,天坛公园I介绍...39,6,805
40,北京科技大学40,北京科技大学介绍...40,6,441
41,北京联合大学41,北京联合大学介绍...41,6,245
42,北京公园A42,北京公园A介绍...42,6,483
43,人民公园E43,人民公园E介绍...43,6,485
44,天坛公园I44,天坛公园I介绍...44,6,403
45,北京科技大学45,北京科技大学介绍...45,6,545
46,北京联合大学46,北京联合大学介绍...46,6,514
47,北京公园A47,北京公园A介绍...47,6,525
48,人民公园E48,人民公园E介绍...48,6,415
49,天坛公园I49,天坛公园I介绍...49,6,245
50,北京科技大学50,北京科技大学介绍...50,6,705
51,北京联合大学51,北京联合大学介绍...51,6,423
52,北京公园A52,北京公园A介绍...52,6,105
53,人民公园E53,人民公园E介绍...53,6,423
54,天坛公园I54,天坛公园I介绍...54,6,94
55,北京科技大学55,北京科技大学介绍...55,6,55
56,北京联合大学56,北京联合大学介绍...56,6,345
57,北京公园A57,北京公园A介绍...57,6,114
58,人民公园E58,人民公园E介绍...58,6,548
59,天坛公园I59,天坛公园I介绍...59,6,805
60,北京科技大学60,北京科技大学介绍...60,6,441
61,北京联合大学61,北京联合大学介绍...61,6,245
62,北京公园A62,北京公园A介绍...62,6,483
63,人民公园E63,人民公园E介绍...63,6,485
64,天坛公园I64,天坛公园I介绍...64,6,403
65,北京科技大学65,北京科技大学介绍...65,6,545
66,北京联合大学66,北京联合大学介绍...66,6,514
67,北京公园A67,北京公园A介绍...67,6,525
68,人民公园E68,人民公园E介绍...68,6,415
69,天坛公园I69,天坛公园I介绍...69,6,245
70,北京科技大学70,北京科技大学介绍...70,6,705
71,北京联合大学71,北京联合大学介绍...71,6,423
72,北京公园A72,北京公园A介绍...72,6,105
73,人民公园E73,人民公园E介绍...73,6,423
74,天坛公园I74,天坛公园I介绍...74,6,94
75,北京科技大学75,北京科技大学介绍...75,6,55
76,北京联合大学76,北京联合大学介绍...76,6,345
77,北京公园A77,北京公园A介绍...77,6,114
78,人民公园E78,人民公园E介绍...78,6,548
79,天坛公园I79,天坛公园I介绍...79,6,805
80,北京科技大学80,北京科技大学介绍...80,6,441
81,北京联合大学81,北京联合大学介绍...81,6,245
82,北京公园A82,北京公园A介绍...82,6,483
83,人民公园E83,人民公园E介绍...83,6,485
84,天坛公园I84,天坛公园I介绍...84,6,403
85,北京科技大学85,北京科技大学介绍...85,6,545
86,北京联合大学86,北京联合大学介绍...86,6,514
87,北京公园A87,北京公园A介绍...87,6,525
88,人民公园E88,人民公园E介绍...88,6,415
89,天坛公园I89,天坛公园I介绍...89,6,245
90,北京科技大学90,北京科技大学介绍...90,6,705
91,北京联合大学91,北京联合大学介绍...91,6,423
92,北京公园A92,北京公园A介绍...92,6,105
93,人民公园E93,人民公园E介绍...93,6,423
94,天坛公园I94,天坛公园I介绍...94,6,94
95,北京科技大学95,北京科技大学介绍...95,6,55
96,北京联合大学96,北京联合大学介绍...96,6,345
97,北京公园A97,北京公园A介绍...97,6,114
98,人民公园E98,人民公园E介绍...98,6,548
99,天坛公园I99,天坛公园I介绍...99,6,805
100,北京科技大学100,北京科技大学介绍...100,6,441
101,北京联合大学101,北京联合大学介绍...101,6,245
102,北京公园A102,北京公园A介绍...102,6,483
103,人民公园E103,人民公园E介绍...103,6,485
104,天坛公园I104,天坛公园I介绍...104,6,403
105,北京科技大学105,北京科技大学介绍...105,6,545
106,北京联合大学106,北京联合大学介绍...106,6,514
107,北京公园A107,北京公园A介绍...107,6,525
108,人民公园E108,人民公园E介绍...108,6,415
109,天坛公园I109,天坛公园I介绍...109,6,245
